Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Aaden	M	0	0	0	0	0	0	0	0	0	0	0	0	226	307	112	70	56	51	59	75	0	63	0	0	0	0	0	0	0	0	0	0	0	0	343	271	556	797	917	981	902	783	0	888
Aadhya	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	912
Aaliyah	F	0	0	0	0	0	0	0	0	0	0	0	194	947	1056	1164	1292	1392	1329	1222	1221	1173	1084	0	0	0	0	0	0	0	0	0	0	0	358	77	63	56	46	36	36	45	48	53	57
Aanya	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0
Aarav	M	0	0	0	0	0	0	0	0	0	0	0	0	52	66	110	111	110	127	134	136	132	137	0	0	0	0	0	0	0	0	0	0	0	0	921	814	570	570	585	529	520	528	550	536
Aaron	M	395	344	365	335	277	222	200	277	678	3028	3669	3184	2003	1924	1855	1921	1902	1853	1848	1795	1811	1867	149	186	182	191	216	249	248	214	127	35	32	31	50	54	55	50	51	51	50	52	49	46
Aarush	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	971	0	0
Abagail	F	0	0	0	0	0	0	0	0	0	0	0	0	75	72	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	912	923	0	0	0	0	0	0	0
Abbey	F	0	0	0	0	0	0	0	0	0	0	98	140	82	75	74	73	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	456	822	882	887	901	990	0	0	0	0	0
Abbie	F	325	236	130	66	44	25	0	0	0	0	65	85	94	90	81	86	86	0	0	0	0	0	197	257	372	548	699	883	0	0	0	0	711	641	737	764	821	793	791	0	0	0	0	0
Abbigail	F	0	0	0	0	0	0	0	0	0	0	0	40	144	164	147	144	116	92	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	508	457	505	513	620	745	855	0	0	0
Abby	F	19	0	0	0	0	0	0	23	54	93	316	346	313	308	286	268	261	230	209	181	184	181	888	0	0	0	0	0	0	924	707	555	224	210	259	257	284	296	309	352	389	437	441	450
Abdiel	M	0	0	0	0	0	0	0	0	0	0	0	0	47	56	66	70	63	69	64	64	83	97	0	0	0	0	0	0	0	0	0	0	0	0	984	896	806	796	847	802	859	871	735	674
Abdul	M	0	0	0	0	0	0	0	0	0	29	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	0	933	0	0	0	0	0	0	0	0	0	0
Abdullah	M	0	0	0	0	0	0	0	0	0	0	0	0	49	62	56	74	77	94	104	99	103	86	0	0	0	0	0	0	0	0	0	0	0	0	953	835	899	762	746	652	630	654	645	722
Abe	M	192	209	199	154	67	33	19	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	247	260	317	497	739	835	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abel	M	46	49	40	41	39	44	41	52	69	105	125	161	204	234	281	381	491	568	643	812	767	700	588	599	735	684	679	607	576	517	476	432	391	377	360	328	292	237	193	179	164	125	137	146
Abigail	F	47	23	0	0	0	0	0	41	62	199	548	1815	3543	3473	3553	3343	3201	3149	3020	3107	2977	2749	593	893	0	0	0	0	0	740	647	345	148	42	8	8	7	7	7	8	8	7	8	10
Abigale	F	0	0	0	0	0	0	0	0	0	0	0	0	0	66	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	972	912	0	0	0	0	0	0	0
Abigayle	F	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0
Abner	M	114	86	75	50	31	13	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	338	415	493	611	790	978	0	0	0	0	0	0	0	0	0	0	0	993	0	0	0	0
Abraham	M	336	352	398	443	230	117	75	72	70	153	229	322	503	502	477	486	490	560	592	612	651	599	172	185	170	155	251	347	425	433	473	350	260	233	187	183	194	192	195	183	180	170	158	170
Abram	M	99	75	51	38	18	0	0	0	0	23	38	34	112	134	121	154	191	205	207	210	218	193	364	450	614	732	951	0	0	0	0	882	746	871	548	493	531	444	393	375	377	383	379	419
Abrielle	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	75	68	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	884	936	963	0	0	0
Abril	F	0	0	0	0	0	0	0	0	0	0	0	0	138	116	99	85	90	75	69	69	80	77	0	0	0	0	0	0	0	0	0	0	0	0	522	627	711	801	769	865	964	979	881	895
Ace	M	24	0	0	0	0	0	0	0	0	0	0	0	76	101	99	111	126	139	206	185	263	318	815	0	0	0	0	0	0	0	0	0	0	0	714	608	619	567	522	495	379	418	333	290
Achilles	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	58	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	931	912
Acie	M	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ada	F	2949	2161	1439	877	598	377	194	107	74	57	0	0	122	128	132	151	158	178	213	230	244	263	46	58	80	117	157	217	292	432	577	752	0	0	598	573	552	494	488	434	382	357	345	321
Ada	M	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adah	F	116	90	43	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	423	694	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adaline	F	63	43	37	31	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	477	436	496	646	747	816	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	171	180
Adalyn	F	0	0	0	0	0	0	0	0	0	0	0	0	136	210	317	371	407	453	530	618	554	572	0	0	0	0	0	0	0	0	0	0	0	0	526	369	256	214	199	177	152	132	141	134
Adalynn	F	0	0	0	0	0	0	0	0	0	0	0	0	78	104	172	244	337	470	633	659	658	691	0	0	0	0	0	0	0	0	0	0	0	0	845	672	445	327	241	173	128	123	124	116
Adam	M	442	357	354	329	200	113	82	93	596	2736	5175	2654	1432	1369	1273	1314	1342	1328	1334	1353	1317	1278	132	178	185	194	271	357	408	378	137	36	22	40	72	74	81	81	82	82	79	73	75	77
Adamaris	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adan	M	0	0	0	0	0	0	13	10	21	44	68	97	262	273	235	229	220	222	209	198	207	193	0	0	0	0	0	0	938	977	826	683	553	523	299	293	332	334	353	360	372	395	389	420
Adda	F	72	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addie	F	1309	965	720	407	293	183	97	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	107	133	197	239	309	439	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addie	M	26	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addilyn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	87	102	112	142	244	263	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	788	695	634	542	336	312	376
Addilynn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	97	124	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	731	614	693
Addison	F	0	0	0	0	0	0	0	0	0	0	0	75	2535	2579	2579	2351	2066	1964	1751	1687	1602	1457	0	0	0	0	0	0	0	0	0	0	0	705	12	12	11	13	14	19	24	24	29	34
Addison	M	74	56	40	37	25	0	0	0	0	0	28	81	63	59	0	0	0	0	0	0	0	0	439	544	732	737	873	0	0	0	0	0	854	578	820	866	0	0	0	0	0	0	0	0
Addisyn	F	0	0	0	0	0	0	0	0	0	0	0	0	130	178	199	208	210	194	145	130	127	120	0	0	0	0	0	0	0	0	0	0	0	0	556	432	403	384	374	402	534	584	600	638
Addyson	F	0	0	0	0	0	0	0	0	0	0	0	0	337	351	403	375	321	262	214	179	172	146	0	0	0	0	0	0	0	0	0	0	0	0	240	226	190	209	256	312	379	444	466	547
Adela	F	51	64	59	60	49	36	34	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	514	563	583	652	760	779	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adelaide	F	308	275	244	225	132	58	24	0	0	0	0	0	131	130	177	196	232	258	262	291	312	301	208	236	265	272	366	584	878	0	0	0	0	0	551	567	434	407	344	321	316	273	258	276
